"title","location","price_cuisine","price","cuisine","michelin_stars","distinction"
"Le Donjon - Domaine Saint-Clair","Etretat, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"A Casa di Mà","Lumio, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"La Renaissance","Argentan, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Les Pêcheurs","Antibes, France","€€€€ · Mediterranean Cuisine","€€€€","Mediterranean Cuisine",1,"1 Star"
"Auberge Le Prieuré","Moirax, France","€€€ · Creative","€€€","Creative",1,"1 Star"
"Restaurant Julien Binz","Ammerschwihr, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Les Terrasses de Lyon","Lyon, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Fontevraud Le Restaurant","Fontevraud-l'Abbaye, France","€€€ · Creative","€€€","Creative",1,"1 Star"
"La Table de la Mainaz","Gex, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Auberge de la Brie","Couilly-Pont-aux-Dames, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Origine","Dijon, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Ithurria","Ainhoa, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Le Moulin de l'Abbaye","Brantôme, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Ô Saveurs","Rouffiac-Tolosan, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Umami","Strasbourg, France","€€€ · Creative","€€€","Creative",1,"1 Star"
"Atmosphères","Le Bourget-du-Lac, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"Le Farçon","Courchevel, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Le P'tit Polyte","Les Deux-Alpes, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Nakatani","Paris, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Au Gourmet","Drusenheim, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"La Chassagnette","Le Sambuc, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"La Gourmandière - La Table d'Olivier","Vannes, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Le Haut-Allier","Alleyras, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"La Barbacane","Carcassonne, France","€€€ · Classic Cuisine","€€€","Classic Cuisine",1,"1 Star"
"Ivan Vautier","Caen, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Septime","Paris, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Pur' - Jean-François Rouquette","Paris, France","€€€€ · Creative","€€€€","Creative",1,"1 Star"
"L'Arôme","Paris, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Le Clair de la Plume","Grignan, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Les Fresques - Hôtel Royal","Évian-les-Bains, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Auberge du Cep","Fleurie, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"La Table de la Ferme","Murtoli, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Château de Courban","Courban, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Loiseau des Ducs","Dijon, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"La Table Breizh Café","Cancale, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Auberge de l'Abbaye","Ambronay, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Le Puits du Trésor","Lastours, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
"Le Duèze - Château de Mercuès","Mercuès, France","€€€€ · Modern Cuisine","€€€€","Modern Cuisine",1,"1 Star"
"Côté Cuisine","Carnac, France","€€€ · Modern Cuisine","€€€","Modern Cuisine",1,"1 Star"
